regime,n,RMSE,MAE,MAPE,R2,RMSE_h1
night,1938,0.2414496598735264,0.1844143056127618,0.013634379444923479,0.8110789259101697,0.2414496598735264
day,1334,0.31416766938560375,0.22355316563236555,0.015545128786383393,0.6156388843748557,0.31416766938560375
