feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.1008547878261974,0.07761474787345046,0.00599046995243902,0.7559933411933228
SolarFlux,"(-3.913, -0.167]",1074,0.12886778392365564,0.09609186954603788,0.00707331919206383,0.6881228429591976
SolarFlux,"(-0.167, 235.795]",1074,0.1318526016630149,0.09146260476615857,0.006795513677415249,0.8594913339478195
temporal_hour,afternoon(12-18),814,0.08386602549041502,0.0676951601126416,0.005237897614206023,0.8169425512246923
temporal_hour,evening(18-24),847,0.11715671217053834,0.08627470138718735,0.006388197346908343,0.7280182124493206
temporal_hour,night(0-6),792,0.13016553910219836,0.09287630774328476,0.006785125329704559,0.6987372484192926
temporal_hour,morning(6-12),792,0.14498888956194136,0.10682822774481097,0.008085762269809907,0.7904031511619698
