feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.12257924975213182,0.09434912152470806,0.007276748285533636,0.6395520533378379
SolarFlux,"(-3.913, -0.167]",1074,0.13602989470968851,0.1007754850805885,0.007413829816774974,0.6524929897381649
SolarFlux,"(-0.167, 235.795]",1074,0.14265572275542707,0.10201032439223628,0.0075854494518844354,0.835523407311573
temporal_hour,afternoon(12-18),814,0.10168224989039742,0.08312737908609814,0.006426291262365475,0.7309050323115442
temporal_hour,evening(18-24),847,0.12557402033833936,0.0919610800508887,0.006810536212680481,0.6875323433042775
temporal_hour,night(0-6),792,0.13492930437474834,0.09887983913495937,0.007223502716199264,0.6762826635833398
temporal_hour,morning(6-12),792,0.16627569855104593,0.12298190317563591,0.009309415907312319,0.7243405637155418
