feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09610065609598317,0.07140821807785605,0.0055142882492621335,0.7784553109738849
SolarFlux,"(-3.913, -0.167]",1074,0.12659878658322918,0.09333253270233731,0.006855949858345963,0.6990087071267423
SolarFlux,"(-0.167, 235.795]",1074,0.12947657470449514,0.08966624529770295,0.0066774029273195135,0.8645097303967
temporal_hour,afternoon(12-18),814,0.0763202983310161,0.05947095024189842,0.004607523861109974,0.8484013267398841
temporal_hour,evening(18-24),847,0.11264971916668934,0.08055459371228678,0.0059583469715228906,0.7485418594166886
temporal_hour,night(0-6),792,0.12892656953156448,0.09564560767617572,0.006976255740480177,0.7044450415079004
temporal_hour,morning(6-12),792,0.14414289754223292,0.1037795876754337,0.007882224887669514,0.7928419580249761
