feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09570787077475927,0.07120285778145667,0.005494622008546585,0.7802626174187556
SolarFlux,"(-0.167, 235.795]",1074,0.12922358899668573,0.08938393293621918,0.006640043918462496,0.8650386849914811
SolarFlux,"(-3.913, -0.167]",1074,0.12976199990708934,0.09473784267788214,0.006975856316329443,0.6837795831283884
temporal_hour,afternoon(12-18),814,0.07586818112137829,0.05939719759371005,0.0045998837554583035,0.8501921309155235
temporal_hour,evening(18-24),847,0.11607508326758058,0.08334760658729948,0.006174290663350081,0.7330170786480401
temporal_hour,night(0-6),792,0.130830308843352,0.09405145924460322,0.006873059969815734,0.6956522266206441
temporal_hour,morning(6-12),792,0.14281793255838718,0.10385739863341933,0.007858074628814656,0.7966328579736339
