feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09561377027455077,0.07022016358522826,0.005426676721142919,0.7806944989846722
SolarFlux,"(-3.913, -0.167]",1074,0.12768236466002836,0.0927774188496936,0.0068293513755041165,0.6938341971939161
SolarFlux,"(-0.167, 235.795]",1074,0.12809213243443004,0.0904383641560154,0.0067257377266029695,0.8673917282466878
temporal_hour,afternoon(12-18),814,0.07794795558166398,0.05981993717698922,0.004640044585245064,0.8418661881353958
temporal_hour,evening(18-24),847,0.11587119374337713,0.08320923271190224,0.006165282433670668,0.7339541826476793
temporal_hour,night(0-6),792,0.1262041642464439,0.09114464226287215,0.006660862755074159,0.7167950982480429
temporal_hour,morning(6-12),792,0.14199102645761055,0.10370197714648058,0.00784871691376457,0.7989810042316347
