variant,n_common,RMSE,MAE,MSE,MAPE,R2
ann_current,399,0.2313535143039325,0.17797367299994166,0.053524448580779906,1.306587310494412,0.8481011026388344
ann_window,399,0.19696171093128748,0.14166486767295972,0.03879391557298005,1.0416656895378877,0.8899053954574723
lstm_raw,399,0.18942425990388187,0.1385387413485569,0.03588155024013339,1.0149303639945726,0.8981704984992092
lstm_improved,399,0.15897757147749073,0.11495561446774781,0.02527386823288067,0.8423250550151319,0.9282744082628237
