feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10054173448622451,0.07484225647409137,0.0057854275187082995,0.7575057839508902
SolarFlux,"(-3.913, -0.167]",1074,0.12967344837330308,0.09779856156362254,0.007188343492153232,0.6842110229724649
SolarFlux,"(-0.167, 235.795]",1074,0.13043576888773578,0.09331447227290696,0.006935850191230727,0.862494804190604
temporal_hour,afternoon(12-18),814,0.08324422952947369,0.06448422462113824,0.0050022752832546095,0.8196469222886681
temporal_hour,evening(18-24),847,0.11693094142560877,0.08597625609779534,0.006369409099789782,0.7290654655321227
temporal_hour,night(0-6),792,0.1315299017804464,0.09917156386478032,0.007231268302530067,0.6923886276854647
temporal_hour,morning(6-12),792,0.14338531015556924,0.10510377595137786,0.007961730462472243,0.7950138013585767
