feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09765453871917736,0.07479061502225133,0.00577016732668342,0.7712329331586316
SolarFlux,"(-3.913, -0.167]",1074,0.12663371268136223,0.09455808325314731,0.006942736467731775,0.6988426091442193
SolarFlux,"(-0.167, 235.795]",1074,0.13450018498129837,0.09462720482009568,0.007033453870893159,0.8537918887182125
temporal_hour,afternoon(12-18),814,0.07778899343262459,0.06124617840409632,0.004741270946235489,0.8425105067369337
temporal_hour,evening(18-24),847,0.1114854470638117,0.08089753718646008,0.005983784454580384,0.753712804983542
temporal_hour,night(0-6),792,0.13478766687388247,0.10105064198681157,0.007366364876010731,0.6769619296584348
temporal_hour,morning(6-12),792,0.14672439041552904,0.10919828937752757,0.008278286269731339,0.7853554186407198
