feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09739839704214844,0.07448913604083106,0.005746393942954446,0.7724314423747652
SolarFlux,"(-3.913, -0.167]",1074,0.12808591269003042,0.09533660082167167,0.007007044403536303,0.6918958268521282
SolarFlux,"(-0.167, 235.795]",1074,0.13060977609864535,0.09356130098532188,0.006940466472205979,0.8621276831839566
temporal_hour,afternoon(12-18),814,0.07946289796988665,0.06365359674469429,0.004925120114344506,0.835659697948248
temporal_hour,evening(18-24),847,0.11283767731485937,0.08122116005476121,0.006012609694501747,0.7477020342151928
temporal_hour,night(0-6),792,0.13104563026181953,0.09878473041584206,0.007202530817532377,0.6946496069395077
temporal_hour,morning(6-12),792,0.14466522732398204,0.10789181515900463,0.008154259890613528,0.791337883009409
