feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10006767010778748,0.07911531800471049,0.0061079734329269495,0.7597871619565433
SolarFlux,"(-3.913, -0.167]",1074,0.1263437489144424,0.0924582803471049,0.006809104077968957,0.7002202005025275
SolarFlux,"(-0.167, 235.795]",1074,0.12908208809173594,0.08882911807305717,0.006620901121250626,0.8653340906923602
temporal_hour,afternoon(12-18),814,0.08324251949765701,0.0681456015043436,0.005272208401306336,0.8196543319634321
temporal_hour,evening(18-24),847,0.11298057854004485,0.08097097330605145,0.005999824755336153,0.7470625932226077
temporal_hour,night(0-6),792,0.1267793501405012,0.09114755587196821,0.006663409048211721,0.7142077562161494
temporal_hour,morning(6-12),792,0.14492328113585096,0.1075481911014022,0.008170128557257789,0.7905927961496111
