feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.11249398581766208,0.08582911773348768,0.006635122311812953,0.696424130618905
SolarFlux,"(-0.167, 235.795]",1074,0.13940016163386182,0.09793308151411094,0.0072803197616156685,0.842944822380142
SolarFlux,"(-3.913, -0.167]",1074,0.144989163902826,0.10577158204591039,0.007774657005636222,0.6052101875800995
temporal_hour,afternoon(12-18),814,0.0939175284518921,0.0735943510213807,0.005702439189415241,0.770433458197735
temporal_hour,evening(18-24),847,0.1230537436081341,0.09172998771161121,0.006787236825124918,0.6999489614938932
temporal_hour,night(0-6),792,0.14904676696729605,0.10730219588723068,0.007835478662146164,0.6049987084996885
temporal_hour,morning(6-12),792,0.15705132488956902,0.11414062347073317,0.00865914453399025,0.7540773610368421
