regime,n,RMSE,MAE,MAPE,R2,RMSE_h1
night,1938,0.198255148558525,0.14988670237622173,0.011156355937684003,0.8726273574301991,0.198255148558525
day,1334,0.3762386354743081,0.25889937054302375,0.018030152618590468,0.44875679890090947,0.3762386354743081
