feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.0986470453770334,0.07540457433761101,0.0058174590952992525,0.7665591789309967
SolarFlux,"(-0.167, 235.795]",1074,0.1270567821582223,0.08904571218074048,0.006620224091042822,0.8695267717694724
SolarFlux,"(-3.913, -0.167]",1074,0.1275322110241401,0.09290985299705165,0.0068365103873377275,0.6945538717905549
temporal_hour,afternoon(12-18),814,0.0802922798593427,0.06361935613656054,0.0049252693724629515,0.8322112412845226
temporal_hour,evening(18-24),847,0.11560859532682027,0.08309398488791447,0.006151403627098737,0.7351586933247274
temporal_hour,night(0-6),792,0.1268762198560482,0.09136967427085656,0.006675686653311468,0.7137708524147619
temporal_hour,morning(6-12),792,0.14181868929758026,0.10527283344623257,0.007971328451054097,0.7994686691250106
