regime,n,RMSE,MAE,MAPE,R2,RMSE_h1
night,5805,0.21516041929271887,0.16002387040097765,0.011824862237161846,0.8865686536432583,0.21516041929271887
day,5978,0.3602566167176041,0.2528686413301358,0.017672020526597342,0.5558083479477316,0.3602566167176041
