feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09600511934947142,0.07175046729068356,0.0055447871808382895,0.7788955813929552
SolarFlux,"(-3.913, -0.167]",1074,0.1272562663635911,0.09509442490011015,0.006980653623501042,0.6958742447593935
SolarFlux,"(-0.167, 235.795]",1074,0.13010098929041455,0.09264195766562562,0.0068869274139124696,0.8631997466856068
temporal_hour,afternoon(12-18),814,0.08313037156326653,0.06544092032552276,0.00506065923313983,0.8201399436437183
temporal_hour,evening(18-24),847,0.11701120196566403,0.0866710737378329,0.0064017943956491,0.7286934029331931
temporal_hour,night(0-6),792,0.12827627903669245,0.09438023322388629,0.006885956647234901,0.7074190114570328
temporal_hour,morning(6-12),792,0.13837332646625047,0.09912962959540636,0.007518236676707101,0.8090937862160017
