feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09759609356404811,0.07346034134331099,0.0056743046014444114,0.7715066803062689
SolarFlux,"(-0.167, 235.795]",1074,0.12541405764040384,0.08882221029198241,0.006601747712544863,0.8728787536888948
SolarFlux,"(-3.913, -0.167]",1074,0.12623555626305485,0.09335183180908443,0.006866519219278094,0.7007334049061689
temporal_hour,afternoon(12-18),814,0.07739932012890556,0.06055958399123434,0.004692830642449617,0.8440843988137259
temporal_hour,evening(18-24),847,0.11109528998787264,0.07928915799525443,0.0058724240075205,0.7554336134614152
temporal_hour,night(0-6),792,0.12862100957763092,0.09672353287237538,0.007055248126980311,0.7058443301319446
temporal_hour,morning(6-12),792,0.14131455038327617,0.10484762112277948,0.007954438127620781,0.8008918378183949
