feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09296355130780148,0.06764326416001729,0.005225635381649662,0.792683413368954
SolarFlux,"(-3.913, -0.167]",1074,0.12769167731063327,0.0943943219125404,0.006935151532451262,0.6937895345009197
SolarFlux,"(-0.167, 235.795]",1074,0.128966763420228,0.08962936846931058,0.006670346138594276,0.8655746099531414
temporal_hour,afternoon(12-18),814,0.07579242065134342,0.057538436312813836,0.004460055003519875,0.8504911719023598
temporal_hour,evening(18-24),847,0.11613210999592392,0.08440213879155535,0.0062431959056729715,0.7327546812049754
temporal_hour,night(0-6),792,0.128282409967831,0.09287345986237391,0.006778693910443931,0.707391043125341
temporal_hour,morning(6-12),792,0.13976478212697985,0.10042668797345954,0.007612093645581352,0.8052350492943695
