variant,model,RMSE,MAE,MAPE,R2,RMSE_h1
lstm_raw,lstm,0.2734418913969665,0.2003712858285782,0.0144133952216678,0.8547526257536481,0.2734418913969665
ann_window,naive_persistence,0.2845922870022702,0.1943313537620756,0.0139588146089337,0.8426653267160518,0.2845922870022702
lstm_raw,naive_persistence,0.2845922870022702,0.1943313537620756,0.0139588146089337,0.8426653267160518,0.2845922870022702
ann_current,naive_moving_avg,0.2977454133347939,0.2071278371848618,0.0147913658656304,0.8407230605708385,0.2977454133347939
ann_current,naive_persistence,0.2977454133347939,0.2071278371848618,0.0147913658656304,0.8407230605708385,0.2977454133347939
lstm_improved,naive_persistence,0.2998158224840047,0.2079290721912267,0.0148328044707845,0.8403949169560766,0.2998158224840047
lstm_improved,lstm,0.3170832396475011,0.2282040068913144,0.0162297680623236,0.8214811030111229,0.3170832396475011
ann_window,naive_moving_avg,0.3467124607581858,0.2455529836164779,0.0176022703995878,0.7664837584893425,0.3467124607581858
lstm_raw,naive_moving_avg,0.3467124607581858,0.2455529836164779,0.0176022703995878,0.7664837584893425,0.3467124607581858
lstm_improved,naive_moving_avg,0.3597503160434281,0.2559234181982002,0.0181696418427686,0.7702053096644298,0.3597503160434281
ann_current,mlp,11.69410908976816,11.681873411946173,0.8481214365208798,-244.6953989182365,11.69410908976816
ann_window,mlp,34.76848837636581,34.76677294902187,2.5517958232861644,-2347.279624984252,34.76848837636581
