policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct
Oracle Policy,oracle,3263,2.627483029635014,2.8294870597297765,2.901930738584125,0.025250503761845428,0.9747494962381545,1.134982668428345,-0.45415551925641096,168,0.05148636224333435,0.0030646644192460926,0.726325467361324,19.34073253209251,0.0
Persistence Policy,forecast,3263,2.5301076324571126,2.7794149500041567,2.876800490346307,0.0311634146933806,0.9688365853066194,1.253738414674131,-0.6488461356106242,625,0.19154152620288079,0.02482378179589335,0.7171314741035857,14.917925191856918,3.7060333436835835
LSTM-raw Policy,forecast,3263,2.5230646292138936,2.824215757663347,2.939687404229237,0.0376438910561816,0.9623561089438184,0.9756201186275482,-0.9861739350741182,284,0.08703646950658903,0.0,0.7704566349984676,14.59803076940335,3.9740846750825645
Improved LSTM Policy,forecast,3263,2.5084848080512505,2.8135856446488474,2.9279190928593324,0.038137604574699675,0.9618623954253003,0.9878787763045326,-1.1112920855618056,220,0.06742261722341404,0.0,0.7925222188170395,13.935812776703912,4.528981547800651
Fixed High-Rate,fixed,3263,2.2016649084405815,2.7822722477565223,3.0,0.07257591741449257,0.9274240825855075,0.5701650159612901,-3.739443512219362,0,0.0,0.0,1.0,0.0,16.206312900661555
Fixed Balanced,fixed,3263,1.7185511636710677,1.7850400096538697,1.8000000000000005,0.008311105747850212,0.9916888942521498,5.07016501596129,0.760556487780638,0,0.0,0.0,0.0,-21.943109640226705,34.59325353245789
Fixed Conservative,fixed,3263,0.9933580564089319,0.9992620062676592,1.0,0.000737993732340892,0.9992620062676592,9.07016501596129,4.760556487780638,0,0.0,1.0,0.0,-54.88150569141251,62.193550055129364
Fixed Survival,fixed,3263,0.34966518365252686,0.34998596578184243,0.35000000000000003,4.009776616444101e-05,0.9999599022338356,13.07016501596129,8.760556487780638,0,0.0,1.0,0.0,-84.11814702991332,86.69200981666857
Fixed Peak-Rate,fixed,3263,0.22024667377876048,2.8299209860549834,4.200000000000001,0.32620928903452784,0.6737907109654722,-2.9298349840387097,-7.239443512219362,0,0.0,0.0,1.0,-89.99635807727167,91.61757958873078
