comparison,paired_rows,mae_reduction_mean,mae_reduction_ci95_low,mae_reduction_ci95_high,mae_reduction_bootstrap_prob_positive,mse_reduction_mean,mse_reduction_ci95_low,mse_reduction_ci95_high,mse_reduction_bootstrap_prob_positive,seeds_with_rmse_reduction,seed_count,mean_rmse_reduction,mean_r2_gain
Improved LSTM vs LSTM-raw,16155,0.0118245525514273,0.01083174077435992,0.012825545772929018,1.0,0.004458593709263078,0.004064804675925717,0.004869517800698063,1.0,5,5,0.017369103880483548,0.027050328892446518
Improved LSTM vs TCN,16280,0.007136345422515043,0.006317351214106732,0.00793973676100238,1.0,0.001547329102862159,0.0012751713699031097,0.0018184020478132122,1.0,5,5,0.006313780161087032,0.009248218980762446
Improved LSTM vs TFT,16280,0.008559514151824665,0.0076754479941696,0.009464944381314915,1.0,0.0028446352123166806,0.002511569846983956,0.003194533882636524,1.0,5,5,0.011340710055000347,0.017002077525220538
Improved LSTM vs PatchTST,16280,0.01766104679299449,0.016478178993116138,0.01887198411800537,1.0,0.006965344490165693,0.006353402909294063,0.007576307694100577,1.0,5,5,0.024911481993858064,0.04163111196082643
