policy,mean_rank,median_rank,best_rank_count,mean_utility,mean_outage,mean_goodput
Improved LSTM Policy,1.2592592592592593,1.0,23,2.350092077465261,0.03821415937175101,2.6092694765999807
TCN Policy,2.074074074074074,2.0,4,2.3478400555144914,0.0364919571153734,2.594190044329495
TFT Policy,3.4814814814814814,3.0,0,2.345093321034895,0.036577810633937974,2.5928797971731634
PatchTST Policy,3.5185185185185186,4.0,0,2.343616647625773,0.036064020820834576,2.586719092104889
LSTM-raw Policy,4.925925925925926,5.0,0,2.3353869171538926,0.0444424111403937,2.640526622183531
Persistence Policy,5.7407407407407405,6.0,0,2.33333953437705,0.038586033976326636,2.595566137085371
