feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09979606183063723,0.07601389174661907,0.005856975255209217,0.7610893857649721
SolarFlux,"(-3.913, -0.167]",1074,0.12500618054120557,0.09089616519821762,0.006689474912501829,0.7065339828309496
SolarFlux,"(-0.167, 235.795]",1074,0.13026980255467957,0.09209712583037764,0.0068510074334127,0.862844504498469
temporal_hour,afternoon(12-18),814,0.07941698002698613,0.06280797496454384,0.004860386344528171,0.835849572430736
temporal_hour,evening(18-24),847,0.11418082945652452,0.08281990390895896,0.006132210058524463,0.7416598780653727
temporal_hour,night(0-6),792,0.12700804453686002,0.0907538831980383,0.006636307147011911,0.7131757579531919
temporal_hour,morning(6-12),792,0.14509180245412132,0.10910894361577426,0.008254546869839403,0.7901055025183424
