model,RMSE,MAE,MAPE,R2,RMSE_h1
lstm,0.1955273656432424,0.1419847966584199,0.010423913462968913,0.8922441191854352,0.1955273656432424
naive_persistence,0.21840650026607253,0.15880517742030476,0.011634354067772877,0.8655511775727037,0.21840650026607253
naive_moving_avg,0.32920583396756425,0.2407087866733495,0.017566488013498527,0.6945353708459228,0.32920583396756425
