feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09838459941316155,0.07241572101272024,0.005607226225931118,0.7677996439421892
SolarFlux,"(-3.913, -0.167]",1074,0.125126642635805,0.09245569292877742,0.006797447526688765,0.7059681137802426
SolarFlux,"(-0.167, 235.795]",1074,0.12883151703731072,0.08925412383155017,0.0066386562099393425,0.8658564037176557
temporal_hour,afternoon(12-18),814,0.0822488621254714,0.06292429653762749,0.004884495039977815,0.8239341698861951
temporal_hour,evening(18-24),847,0.11370061371282171,0.08209832562335563,0.0060792777842743366,0.7438283351341786
temporal_hour,night(0-6),792,0.12787335462077276,0.09376464200331107,0.006843319337385555,0.7092541578722183
temporal_hour,morning(6-12),792,0.14053670191457282,0.10015782366331671,0.007601916165053638,0.8030777377247023
