feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10322465972309143,0.07575342640297697,0.0058594565109692555,0.7443913433906199
SolarFlux,"(-0.167, 235.795]",1074,0.13445394824514073,0.09240218374904591,0.006884615640644615,0.8538923945115942
SolarFlux,"(-3.913, -0.167]",1074,0.13506682057781694,0.09785270911618035,0.007197275845538795,0.657396180833787
temporal_hour,afternoon(12-18),814,0.08666786423857467,0.0658404008464197,0.00509886588261952,0.8045068832818446
temporal_hour,evening(18-24),847,0.12152959347284863,0.08724963535608694,0.006451611502583989,0.7073358252380788
temporal_hour,night(0-6),792,0.13314153069376566,0.09441057633442287,0.006900964371269667,0.6848041528680968
temporal_hour,morning(6-12),792,0.15012046322063846,0.1072664207624669,0.008154769526779222,0.7753041283106965
