metric,policy_a,policy_b,mean_delta_a_minus_b,ci95_low,ci95_high,prob_delta_positive
mission_utility,Improved LSTM Policy,TCN Policy,0.0009607819504423072,-0.001958318499053697,0.003935830043486223,0.7406666666666667
mission_utility,Improved LSTM Policy,LSTM-raw Policy,0.0035188281650558434,0.0006846868493272821,0.006375139905221143,0.9926666666666667
outage_rate,TCN Policy,Improved LSTM Policy,0.00023449612403100763,-0.0011470397286821702,0.001580121124031008,0.6176666666666667
outage_rate,LSTM-raw Policy,Improved LSTM Policy,0.0014298449612403098,6.077034883720942e-05,0.0028527858527131783,0.978
