feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09754270024091417,0.07276876403700237,0.005616193408353706,0.7717566222862366
SolarFlux,"(-3.913, -0.167]",1074,0.1264141893327548,0.09348099329985902,0.006871637269698752,0.6998858349129082
SolarFlux,"(-0.167, 235.795]",1074,0.1331945850997907,0.09243406393875588,0.006883945125989612,0.856616610586594
temporal_hour,afternoon(12-18),814,0.07747976557502158,0.0600380463706098,0.004647058022662913,0.8437601267597041
temporal_hour,evening(18-24),847,0.11247567074224071,0.08210064216819424,0.006074387724831728,0.7493182853760096
temporal_hour,night(0-6),792,0.12921389385923954,0.09351076490511856,0.006827907066606142,0.703126232575345
temporal_hour,morning(6-12),792,0.14897316277163147,0.10944560340725548,0.008303076741444017,0.7787254950019801
