seed,model,RMSE,MAE,MAPE,R2,RMSE_h1
42,lstm,0.1370721407589398,0.0975139162304574,0.0073293656203683,0.8860083494320407,0.1370721407589398
42,naive_moving_avg,0.1570754916908399,0.1185239765780904,0.0088854813113111,0.8503104417240187,0.1570754916908399
42,naive_persistence,0.1713276428713351,0.1218886063332194,0.0091244806648542,0.8219141018642936,0.1713276428713351
52,lstm,0.1326460995988099,0.0941618334203011,0.007070849991919,0.8932510481057766,0.1326460995988099
52,naive_moving_avg,0.1570754916908399,0.1185239765780904,0.0088854813113111,0.8503104417240187,0.1570754916908399
52,naive_persistence,0.1713276428713351,0.1218886063332194,0.0091244806648542,0.8219141018642936,0.1713276428713351
62,lstm,0.1387684115822122,0.0991004615075925,0.0074506391145774,0.8831695941393858,0.1387684115822122
62,naive_moving_avg,0.1570754916908399,0.1185239765780904,0.0088854813113111,0.8503104417240187,0.1570754916908399
62,naive_persistence,0.1713276428713351,0.1218886063332194,0.0091244806648542,0.8219141018642936,0.1713276428713351
72,lstm,0.1427400063902668,0.1017581621102778,0.0076507117878815,0.8763864511596525,0.1427400063902668
72,naive_moving_avg,0.1570754916908399,0.1185239765780904,0.0088854813113111,0.8503104417240187,0.1570754916908399
72,naive_persistence,0.1713276428713351,0.1218886063332194,0.0091244806648542,0.8219141018642936,0.1713276428713351
82,lstm,0.1325045948248168,0.0954904454801883,0.0071620940470792,0.8934786828302016,0.1325045948248168
82,naive_moving_avg,0.1570754916908399,0.1185239765780904,0.0088854813113111,0.8503104417240187,0.1570754916908399
82,naive_persistence,0.1713276428713351,0.1218886063332194,0.0091244806648542,0.8219141018642936,0.1713276428713351
