seed,best_model,best_RMSE,best_MAE,best_R2
42,lstm,0.1370721407589398,0.0975139162304574,0.8860083494320407
52,lstm,0.1326460995988099,0.0941618334203011,0.8932510481057766
62,lstm,0.1387684115822122,0.0991004615075925,0.8831695941393858
72,lstm,0.1427400063902668,0.1017581621102778,0.8763864511596525
82,lstm,0.1325045948248168,0.0954904454801883,0.8934786828302016
