index_,model,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,R2_mean,R2_std,R2_min,R2_max,RMSE_h1_mean,RMSE_h1_std,RMSE_h1_min,RMSE_h1_max
0,lstm,0.11898761637141372,0.002491000262172583,0.1163531221030203,0.1229778486917938,0.08538512402808972,0.0021170260087220037,0.0834055571286336,0.087684714884983,0.006399651596005559,0.0001564309017216045,0.0062541652815836,0.0065808487956351,0.9153491770940082,0.0035694043795122354,0.9096081669746238,0.9190845427087736,0.11898761637141372,0.002491000262172583,0.1163531221030203,0.1229778486917938
1,naive_moving_avg,0.1570069713801239,0.0,0.1570069713801239,0.1570069713801239,0.11861675975443428,0.0,0.1186167597544343,0.1186167597544343,0.0088958677650884,0.0,0.0088958677650884,0.0088958677650884,0.8526625045961647,0.0,0.8526625045961647,0.8526625045961647,0.1570069713801239,0.0,0.1570069713801239,0.1570069713801239
2,naive_persistence,0.1708854291717045,0.0,0.1708854291717045,0.1708854291717045,0.1215654369984098,0.0,0.1215654369984098,0.1215654369984098,0.0091026867082181,0.0,0.0091026867082181,0.0091026867082181,0.8254638156264239,0.0,0.8254638156264239,0.8254638156264239,0.1708854291717045,0.0,0.1708854291717045,0.1708854291717045
