feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.0952354795557232,0.06896822305776362,0.005321560188084684,0.78242640683769
SolarFlux,"(-3.913, -0.167]",1074,0.12845877695369246,0.09412652009572689,0.006917993699702595,0.6900994037271972
SolarFlux,"(-0.167, 235.795]",1074,0.12931435541934483,0.09012729176066414,0.0067036525379794475,0.8648490252237936
temporal_hour,afternoon(12-18),814,0.0764143354301895,0.05788253687045003,0.004483125603811294,0.8480275157774586
temporal_hour,evening(18-24),847,0.11422125558702391,0.08194599970784748,0.006064862564686073,0.7414769131956058
temporal_hour,night(0-6),792,0.1307651945025824,0.09620209090960943,0.007017914072254556,0.6959550994524066
temporal_hour,morning(6-12),792,0.14238863891871736,0.10167669392297918,0.007706109475099355,0.7978536151432791
