variant,adaptation_ratio,method,target_train_windows,target_val_windows,target_test_windows,test_start,test_end,RMSE,MAE,MAPE,R2,RMSE_h1,finetune_epochs,finetune_lr
ann_current,0.0,source_only,0,0,11783,2006-06-09 21:20:00,2006-08-08 09:30:00,11.69410908976816,11.681873411946171,0.8481214365208798,-244.6953989182365,11.69410908976816,,
ann_current,0.0,persistence,0,0,11783,2006-06-09 21:20:00,2006-08-08 09:30:00,0.29774541333479393,0.20712783718486183,0.014791365865630438,0.8407230605708385,0.29774541333479393,,
ann_current,0.05,source_only,489,130,11154,2006-06-12 07:45:00,2006-08-08 09:30:00,11.69662214109269,11.684451915532229,0.8478465978224103,-246.43125603625418,11.69662214109269,,
ann_current,0.05,persistence,489,130,11154,2006-06-12 07:45:00,2006-08-08 09:30:00,0.3000771903296376,0.20848465779328085,0.014883093346166477,0.8371455580116985,0.3000771903296376,,
ann_current,0.05,fewshot_finetuned,489,130,11154,2006-06-12 07:45:00,2006-08-08 09:30:00,0.37758083904521017,0.31004328943537907,0.022556912196049442,0.7421580757462227,0.37758083904521017,15.0,0.0003
ann_current,0.1,source_only,980,247,10546,2006-06-14 19:55:00,2006-08-08 09:30:00,11.695204121892084,11.682812943469198,0.848033312989669,-244.81379867409757,11.695204121892084,,
ann_current,0.1,persistence,980,247,10546,2006-06-14 19:55:00,2006-08-08 09:30:00,0.302945159863479,0.21022916368809377,0.015011655636737191,0.8350627754513766,0.302945159863479,,
ann_current,0.1,fewshot_finetuned,980,247,10546,2006-06-14 19:55:00,2006-08-08 09:30:00,0.29427855998308666,0.21137121605610984,0.015177995471036832,0.8443647777098,0.29427855998308666,15.0,0.0003
ann_current,0.2,source_only,1931,449,9393,2006-06-27 03:00:00,2006-08-08 09:30:00,11.714209425675097,11.701917462287991,0.8482652646298137,-244.61419278237798,11.714209425675097,,
ann_current,0.2,persistence,1931,449,9393,2006-06-27 03:00:00,2006-08-08 09:30:00,0.3006491749130192,0.2091666194652608,0.014907818938533778,0.8382115466093936,0.3006491749130192,,
ann_current,0.2,fewshot_finetuned,1931,449,9393,2006-06-27 03:00:00,2006-08-08 09:30:00,0.3006922164676779,0.20915519993105694,0.014907666936143767,0.8381652193575371,0.3006922164676779,15.0,0.0003
ann_window,0.0,source_only,0,0,3272,2006-06-10 03:15:00,2006-08-07 23:30:00,34.76848837636581,34.76677294902187,2.5517958232861644,-2347.2796249842518,34.76848837636581,,
ann_window,0.0,persistence,0,0,3272,2006-06-10 03:15:00,2006-08-07 23:30:00,0.28459228700227024,0.19433135376207564,0.013958814608933768,0.8426653267160518,0.28459228700227024,,
ann_window,0.05,source_only,82,85,3100,2006-06-12 07:45:00,2006-08-07 23:30:00,34.779797870951214,34.77810568429621,2.5550230424354132,-2425.6114590526404,34.779797870951214,,
ann_window,0.05,persistence,82,85,3100,2006-06-12 07:45:00,2006-08-07 23:30:00,0.2840782188305968,0.19301485218688685,0.013882136970386037,0.8381092596061037,0.2840782188305968,,
ann_window,0.05,fewshot_finetuned,82,85,3100,2006-06-12 07:45:00,2006-08-07 23:30:00,1.3125902131697684,1.286923666206681,0.0950321440728029,-2.456244521809739,1.3125902131697684,15.0,0.0003
ann_window,0.1,source_only,262,147,2858,2006-06-15 00:50:00,2006-08-07 23:30:00,34.77558883941508,34.773843830819025,2.554576015037275,-2417.9089331802516,34.77558883941508,,
ann_window,0.1,persistence,262,147,2858,2006-06-15 00:50:00,2006-08-07 23:30:00,0.2901114421352938,0.19654284974364786,0.01413534178912002,0.8316549893811243,0.2901114421352938,,
ann_window,0.1,fewshot_finetuned,262,147,2858,2006-06-15 00:50:00,2006-08-07 23:30:00,0.3723463158145371,0.28678926337112826,0.020507660078539363,0.7226905588273868,0.3723463158145371,15.0,0.0003
ann_window,0.2,source_only,550,66,2656,2006-06-29 16:25:00,2006-08-07 23:30:00,34.77159186725865,34.76978224831299,2.5468437608707037,-2381.3644038374164,34.77159186725865,,
ann_window,0.2,persistence,550,66,2656,2006-06-29 16:25:00,2006-08-07 23:30:00,0.2955618509864677,0.19954920646687963,0.014303160187275553,0.8278703046989495,0.2955618509864677,,
ann_window,0.2,fewshot_finetuned,550,66,2656,2006-06-29 16:25:00,2006-08-07 23:30:00,0.2890105766408682,0.19916738348574364,0.014245639956193717,0.8354164151644801,0.2890105766408682,15.0,0.0003
lstm_raw,0.0,source_only,0,0,3272,2006-06-10 03:15:00,2006-08-07 23:30:00,0.2734418913969665,0.20037128582857827,0.014413395221667829,0.8547526257536481,0.2734418913969665,,
lstm_raw,0.0,persistence,0,0,3272,2006-06-10 03:15:00,2006-08-07 23:30:00,0.28459228700227024,0.19433135376207564,0.013958814608933768,0.8426653267160518,0.28459228700227024,,
lstm_raw,0.05,source_only,82,85,3100,2006-06-12 07:45:00,2006-08-07 23:30:00,0.27390342623520436,0.20070611931297827,0.0144559411794489,0.8494984175286819,0.27390342623520436,,
