model,scale,RMSE,MAE,MAPE,R2
lstm_final_seq72,LogCn2,0.11635312210302036,0.08340555712863366,0.006254165286277207,0.9190845427087736
lstm_final_seq72,Cn2,1.9995140357209226e-14,1.1726313524656878e-14,0.1901399061433488,0.8852718421959499
naive_moving_avg,LogCn2,0.15700697133988337,0.1186167597346381,0.008895867770375222,0.8526625046716892
naive_moving_avg,Cn2,2.6994602728845338e-14,1.6884905638526698e-14,0.2810373036908133,0.7908899109209867
naive_persistence,LogCn2,0.17088542917170457,0.12156543699840987,0.00910268671503969,0.8254638156264239
naive_persistence,Cn2,3.2619602687582777e-14,1.7878047639419572e-14,0.30547664965549975,0.6946636990288482
