feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.0952809701415016,0.0701853307237347,0.005414988081015296,0.7822185029325049
SolarFlux,"(-3.913, -0.167]",1074,0.12838167152929283,0.0915464139073418,0.006741867271125414,0.690471318301721
SolarFlux,"(-0.167, 235.795]",1074,0.14004975796272312,0.09843519478810764,0.0073309969117634375,0.8414776766483599
temporal_hour,afternoon(12-18),814,0.07519322439993024,0.05814048932129059,0.004502986023707812,0.8528457875637693
temporal_hour,evening(18-24),847,0.11467687941421952,0.08152861287950125,0.006038010779094567,0.7394103239976136
temporal_hour,night(0-6),792,0.12956274208698546,0.09221955726255014,0.0067442967599005135,0.7015210849546797
temporal_hour,morning(6-12),792,0.1567790434576187,0.1153705795645553,0.008734800857166507,0.7549293388674096
