model,RMSE,MAE,MAPE,R2,RMSE_h1
lstm,0.11635312210302039,0.08340555712863366,0.006254165281583642,0.9190845427087736,0.11635312210302039
naive_moving_avg,0.15700697138012393,0.11861675975443431,0.008895867765088454,0.8526625045961647,0.15700697138012393
naive_persistence,0.17088542917170457,0.12156543699840987,0.009102686708218176,0.8254638156264239,0.17088542917170457
