feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10016107116514253,0.07309988813471224,0.005630447094331728,0.7593385334685101
SolarFlux,"(-3.913, -0.167]",1074,0.12593911838066854,0.09319314166044565,0.006856109787445765,0.7021372850050587
SolarFlux,"(-0.167, 235.795]",1074,0.12926140289950772,0.08944075694908953,0.006652033807902675,0.8649596876384374
temporal_hour,afternoon(12-18),814,0.07578944580403302,0.058647777129313836,0.004541021506676818,0.8505029080945228
temporal_hour,evening(18-24),847,0.11234739150383445,0.08080451199013958,0.005985015181517934,0.7498897675719345
temporal_hour,night(0-6),792,0.12751055939075323,0.09362154945999263,0.006834885083326939,0.7109015936848759
temporal_hour,morning(6-12),792,0.1488025888407073,0.10830730123690137,0.008195555051091036,0.7792319225118154
