feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09905444873797184,0.07608226451444036,0.005872931319879563,0.7646270184418656
SolarFlux,"(-3.913, -0.167]",1074,0.1406367788105835,0.10062946598478177,0.007423255310746648,0.6285565816130316
SolarFlux,"(-0.167, 235.795]",1074,0.14305986601648288,0.09884068517240142,0.007348108128940663,0.8345901637949993
temporal_hour,afternoon(12-18),814,0.08612395579788241,0.06852151809616598,0.005299639034086143,0.8069529272510811
temporal_hour,evening(18-24),847,0.1364882784341214,0.09607417279511968,0.007125098355492171,0.6308556846210849
temporal_hour,night(0-6),792,0.13902130375561292,0.09647594620852283,0.00706359721134731,0.6563501887814815
temporal_hour,morning(6-12),792,0.14503834607370103,0.10606045048917746,0.008025728125313757,0.7902601374870803
