seed,best_model,best_RMSE,best_MAE,best_R2
42,tft,0.1249762945320453,0.0897711931107704,0.9066464799475568
52,tft,0.1374457362526775,0.1007976854787194,0.8870885578356826
62,tft,0.1289674815394518,0.0917447256112295,0.9005886781356987
72,tft,0.1339771508974173,0.0990545563369268,0.8927155234651086
82,tft,0.1262749689104787,0.0883550303619259,0.9046962584598915
