feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.1348985393444683,0.09764702805612191,0.007542608757118818,0.5634609163275406
SolarFlux,"(-3.913, -0.167]",1074,0.17608428591504888,0.13026367217065196,0.009576870045107546,0.4177144039293891
SolarFlux,"(-0.167, 235.795]",1074,0.19141220287233768,0.1312600960992391,0.009769261059340633,0.7038819052616574
temporal_hour,afternoon(12-18),814,0.11181062254160924,0.08565033206655134,0.006626896180898736,0.6746270739003537
temporal_hour,evening(18-24),847,0.15717341887399336,0.11621495521950001,0.008597579304129653,0.5104876272374282
temporal_hour,night(0-6),792,0.18300503628716075,0.1285431593789442,0.009385305371226877,0.4045031358271708
temporal_hour,morning(6-12),792,0.2095149811339817,0.14883826749427695,0.0112810053372428,0.5623313233104463
