feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10632645260143377,0.0845627025807477,0.00651924470592478,0.7287989995584923
SolarFlux,"(-3.913, -0.167]",1074,0.12567198245236513,0.09504368028610036,0.006978687842449921,0.7033995686238549
SolarFlux,"(-0.167, 235.795]",1074,0.13068696547040135,0.09325626771205762,0.006936175998898837,0.861964672074259
temporal_hour,afternoon(12-18),814,0.09160506776865167,0.07479226010534379,0.005778891379921603,0.7815991709906094
temporal_hour,evening(18-24),847,0.1088114626466317,0.07914219408068562,0.005857415277471656,0.7653855433172341
temporal_hour,night(0-6),792,0.13310708381355496,0.10202834115823084,0.007435198628057236,0.6849672290920821
temporal_hour,morning(6-12),792,0.14477949153941258,0.10859735393179487,0.008239210735633513,0.7910081281732957
