model,RMSE,MAE,MAPE,R2,RMSE_h1
lstm,0.12122154177555955,0.09091077747790847,0.00680995516690535,0.9121715906886418,0.12122154177555955
naive_moving_avg,0.15700697133988337,0.1186167597346381,0.008895867763698306,0.8526625046716892,0.15700697133988337
naive_persistence,0.17088542917170457,0.12156543699840987,0.009102686708218176,0.8254638156264239,0.17088542917170457
