feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.12083949504487697,0.0909924017545649,0.007018182059942698,0.7367444808130388
SolarFlux,"(-3.913, -0.167]",1074,0.15785118725178085,0.11848867441664286,0.008724959432230202,0.6456912075879566
SolarFlux,"(-0.167, 235.795]",1074,0.17123908860617734,0.12123954880618822,0.009031661422503369,0.8087537906613348
temporal_hour,afternoon(12-18),814,0.1012638388624059,0.0795027844311506,0.00615230477049363,0.7626155642340904
temporal_hour,evening(18-24),847,0.13913105695899178,0.10562431616935714,0.007828866770883179,0.7187021852769981
temporal_hour,night(0-6),792,0.16483688028165713,0.11838022404198327,0.008659394219843297,0.6384960807254284
temporal_hour,morning(6-12),792,0.18680623447552133,0.13746538811754014,0.01040372595577485,0.740210901270657
