feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.12156994854442563,0.09176263631042646,0.00708345825164703,0.7335521948358168
SolarFlux,"(-3.913, -0.167]",1074,0.1584683550658822,0.11863492801630553,0.008738149219820622,0.6429152328025334
SolarFlux,"(-0.167, 235.795]",1074,0.17192441043534246,0.12193329171880839,0.009094583416486016,0.8072199414293196
temporal_hour,afternoon(12-18),814,0.10275336578801436,0.08071875202330811,0.0062564843379638545,0.7555806530752994
temporal_hour,evening(18-24),847,0.14106981071779337,0.10686873774097964,0.00793212209395765,0.7108079454136599
temporal_hour,night(0-6),792,0.1649632542210094,0.11865761851244074,0.00867926130598423,0.6379415666311122
temporal_hour,morning(6-12),792,0.18647482335937987,0.13678251224013716,0.010357769657258143,0.7411318622171015
