feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.0968234976410505,0.0740212303098831,0.005710551179688484,0.7751099857323538
SolarFlux,"(-0.167, 235.795]",1074,0.1272332107340184,0.08747957019777657,0.006509171219762206,0.8691641750240544
SolarFlux,"(-3.913, -0.167]",1074,0.1278655018099678,0.09473565849472239,0.006972822671294546,0.692955288911856
temporal_hour,afternoon(12-18),814,0.0791747370084073,0.06275322232248662,0.004854723896566524,0.8368494505222239
temporal_hour,evening(18-24),847,0.11328515609660761,0.08200066482868287,0.006074295787417993,0.745696997457381
temporal_hour,night(0-6),792,0.13058753021498204,0.09416495139434893,0.006877553292425545,0.6967807201399827
temporal_hour,morning(6-12),792,0.14013737985219302,0.10298423060146135,0.007811283757067163,0.8041952207054571
