feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.09429411611199989,0.06970984289057265,0.005387525026158363,0.7867063992917219
SolarFlux,"(-3.913, -0.167]",1074,0.1262594202744989,0.09182631605501915,0.006759645390626365,0.7006202454017044
SolarFlux,"(-0.167, 235.795]",1074,0.12843090309702518,0.08752537128257741,0.00652402994948098,0.8666893713234961
temporal_hour,afternoon(12-18),814,0.07530166688422575,0.058631049113088814,0.004540897148141231,0.8524210345219968
temporal_hour,evening(18-24),847,0.11380739496103098,0.08092415942847987,0.005994371937005973,0.7433469450332115
temporal_hour,night(0-6),792,0.12627664075168413,0.09034504992999097,0.006602039244552789,0.716469727125519
temporal_hour,morning(6-12),792,0.1428032312150403,0.10243409766284592,0.00778542324131384,0.7966747240929213
