model,RMSE,MAE,MAPE,R2,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6
lstm,0.17720462668173903,0.1272885864720099,0.009563502712004245,0.8295530546058323,0.15258070139625932,0.16820217011418315,0.17568622919249322,0.18308781845154928,0.18842350689249193,0.19221295349664197
naive_moving_avg,0.2038881591578297,0.1515941859132048,0.011379386043230046,0.774356348812387,0.18278379435603487,0.19273195995993345,0.20062266127708644,0.2079583709421973,0.21498165452414894,0.22170592404049735
naive_persistence,0.21475805503466067,0.15277106665022722,0.011451186142107751,0.7496555123014172,0.1753331392127361,0.20210041285558572,0.21361332213230083,0.2240898351851637,0.2339881329183553,0.23354334642353078
