feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.12129046725640152,0.09138985855220774,0.007055386286390244,0.7347758784699375
SolarFlux,"(-3.913, -0.167]",1074,0.15921545674404386,0.11834511259869777,0.00872423218575706,0.6395403319293003
SolarFlux,"(-0.167, 235.795]",1074,0.1736591105177749,0.12244306449185598,0.009136790870425661,0.8033100522807679
temporal_hour,afternoon(12-18),814,0.10063706233842702,0.0793293880501411,0.006144971638483134,0.7655450705946372
temporal_hour,evening(18-24),847,0.1392096680721548,0.1054015370313172,0.00781992869036756,0.7183842205902661
temporal_hour,night(0-6),792,0.16566989060364917,0.11738463907472536,0.00859722845049997,0.6348330970672689
temporal_hour,morning(6-12),792,0.19136493626517362,0.1408891887535376,0.01067805250536246,0.7273767311349901
