策略,avg_mission_utility,avg_goodput,outage_rate,availability,avg_coded_ber,p99_coded_ber,avg_bler
理想策略（Oracle Policy）,1.956208869104927,2.426229024143687,0.0587525193798449,0.9412474806201552,4.646428344837444e-05,0.0215118040936337,0.0054116232998833
改进 LSTM 预测驱动策略（Improved LSTM Policy）,1.9374190279759165,2.434783369061188,0.0621705426356589,0.9378294573643412,4.742420780612874e-05,0.0216608818363801,0.0055338169356527
时间卷积网络预测驱动策略（TCN Policy）,1.9364582460254745,2.4356985561029934,0.0624050387596899,0.93759496124031,4.764175837483453e-05,0.0215118040936337,0.0055590730391514
基础 LSTM 预测驱动策略（LSTM-raw Policy）,1.9339001998108607,2.4427033005860546,0.0636003875968992,0.9363996124031008,4.788335386805697e-05,0.0215118040936337,0.0056026202598301
持续性预测策略（Persistence Policy）,1.9310106786172652,2.429454089469979,0.0623054263565891,0.9376945736434108,4.797341217747105e-05,0.0215118040936337,0.0056159374266486
固定均衡策略（Fixed Balanced）,0.8599967979036163,1.7592820692214457,0.1124106589147286,0.8875893410852713,0.0002582052872607,0.1060758176235248,0.0226210726547523
固定保守策略（Fixed Conservative）,0.7699714695248314,0.992579221462816,0.027825968992248,0.972174031007752,7.685783127228407e-05,0.0500108073718691,0.007420778537184
固定高速率策略（Fixed High-Rate）,0.5410329915917446,2.800426790041357,0.2824242248062015,0.7175757751937984,0.0007975483443483,0.1409816518585582,0.0665244033195477
固定峰值速率策略（Fixed Peak-Rate）,-0.4429246275632634,3.820976147630535,0.5329875968992248,0.4670124031007752,0.0012419111600202,0.1612707592300841,0.0902437743736821
