策略,avg_mission_utility,avg_goodput,outage_rate,availability,avg_coded_ber_proxy,p99_coded_ber_proxy,ber_proxy_exceed_1e_4_rate
理想策略（Oracle Policy）,2.627483029635014,2.8294870597297765,0.0252505037618454,0.9747494962381544,2.51191780241057e-06,4.732695047352718e-05,0.0
持续性预测策略（Persistence Policy）,2.530107632457113,2.7794149500041567,0.0311634146933806,0.9688365853066194,2.766496657228967e-06,5.315473086442349e-05,0.0024517315353968
基础 LSTM 预测驱动策略（LSTM-raw Policy）,2.5230646292138936,2.824215757663347,0.0376438910561816,0.9623561089438184,3.5324635156038624e-06,6.671337738127504e-05,0.0042905301869445
改进 LSTM 预测驱动策略（Improved LSTM Policy）,2.5084848080512505,2.8135856446488474,0.0381376045746996,0.9618623954253004,3.6742618003590167e-06,6.560745427643549e-05,0.0042905301869445
固定高速率策略（Fixed High-Rate）,2.201664908440581,2.7822722477565223,0.0725759174144925,0.9274240825855076,1.704726105988294e-05,0.0002883359690352,0.0542445602206558
固定均衡策略（Fixed Balanced）,1.7185511636710675,1.7850400096538697,0.0083111057478502,0.9916888942521498,2.765579469122831e-06,5.895991747464848e-05,0.0024517315353968
固定保守策略（Fixed Conservative）,0.993358056408932,0.9992620062676592,0.0007379937323408,0.9992620062676592,4.290638411529948e-07,1.0481325783786406e-05,0.0
固定峰值速率策略（Fixed Peak-Rate）,0.2202466737787604,2.8299209860549834,0.3262092890345278,0.6737907109654722,3.2838897461199194e-05,0.0005070769178147,0.1005209929512718
