comparison,paired_rows,mission_utility_gain_mean,mission_utility_gain_ci95_low,mission_utility_gain_ci95_high,mission_utility_gain_bootstrap_prob_positive,goodput_gain_mean,goodput_gain_ci95_low,goodput_gain_ci95_high,goodput_gain_bootstrap_prob_positive,outage_reduction_mean,outage_reduction_ci95_low,outage_reduction_ci95_high,outage_reduction_bootstrap_prob_positive
Improved LSTM Policy vs LSTM-raw Policy,3225,0.0174676413366722,0.0132074948633487,0.0221932579929064,1.0,-0.0418823805961212,-0.0484798603215324,-0.0353442254784853,0.0,0.0074187527415991,0.0062899067725264,0.008588597097017,1.0
Improved LSTM Policy vs TCN Policy,3225,0.0004789716971261,-0.0028650209971749,0.0038305736687831,0.60475,0.0139287790396167,0.0092115917643799,0.0186483700650332,1.0,-0.0016812259178113,-0.0023256214912167,-0.001053081690256,0.0
Improved LSTM Policy vs TFT Policy,3225,0.0031594332151499,-0.0002504330764874,0.0065550464906474,0.9655,0.007156569689666,0.0017851583808649,0.0124543999271298,0.995,-0.0004996420593145,-0.0012624238181332,0.0002057274556577,0.0855
Improved LSTM Policy vs PatchTST Policy,3225,0.0061138736568703,0.0023433027838093,0.0098984522798556,0.99925,0.0035306712923036,-0.002095874081513,0.0089622278399672,0.89075,0.0003229002955708,-0.0004806692309881,0.0011108918508006,0.78975
Improved LSTM Policy vs Persistence Policy,3225,0.0113977232680726,0.007446252416878,0.0155464847388255,1.0,0.0070979355123629,-5.2661997507637216e-05,0.0141694102704939,0.9745,0.0005374734694637,-0.0003984181083371,0.0014550435059116,0.87
