feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10353003383563211,0.08006086298650085,0.006175667219743192,0.7428767493867026
SolarFlux,"(-3.913, -0.167]",1074,0.1279649708357117,0.09366564372809051,0.006888398407119705,0.6924773911642306
SolarFlux,"(-0.167, 235.795]",1074,0.13689818498629353,0.0943569192137785,0.00701622918562002,0.848531932633381
temporal_hour,afternoon(12-18),814,0.08962463985013236,0.07257069241307425,0.0056098477202505825,0.7909403933824317
temporal_hour,evening(18-24),847,0.11628159607045757,0.08456770901670234,0.00626045531864796,0.7320662382712269
temporal_hour,night(0-6),792,0.132315502799791,0.09351520077002598,0.006830558345413462,0.6887030551045358
temporal_hour,morning(6-12),792,0.1483389816864599,0.10719144293753664,0.008112035040253153,0.7806054230859952
