feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.11554072065340718,0.0871397609214001,0.00673203349881147,0.6797576367412628
SolarFlux,"(-3.913, -0.167]",1074,0.1443453825971489,0.10712042087298637,0.007892520676131371,0.6087082978784055
SolarFlux,"(-0.167, 235.795]",1074,0.14730859826571643,0.10364775389512414,0.007723987376525287,0.8246192602635141
temporal_hour,afternoon(12-18),814,0.09772167045210595,0.07482318047306534,0.005801821811429645,0.7514595695099625
temporal_hour,night(0-6),792,0.1356415736544636,0.09724576813232493,0.007109204447549237,0.6728559432616392
temporal_hour,evening(18-24),847,0.13961442912408562,0.10545335739962354,0.007821704354777843,0.6137521430689361
temporal_hour,morning(6-12),792,0.16405379686139882,0.11958267133355782,0.009067646982744083,0.7316584809746122
