model,RMSE,MAE,MAPE,R2,RMSE_h1
lstm,0.18922583397906909,0.13838324705962446,0.010136994969714652,0.899077793015801,0.18922583397906909
naive_persistence,0.21840650026607253,0.15880517742030476,0.011634354067772877,0.8655511775727037,0.21840650026607253
naive_moving_avg,0.32920583396756425,0.2407087866733495,0.017566488013498527,0.6945353708459228,0.32920583396756425
