feature,bin,n,RMSE,MAE,MAPE,R2
SolarFlux,"(235.795, 1130.993]",1107,0.10339760255628545,0.07752866236154178,0.005975747469591488,0.7435341312373379
SolarFlux,"(-3.913, -0.167]",1074,0.1285609015635105,0.09449126530977645,0.006960395664551667,0.689606466483315
SolarFlux,"(-0.167, 235.795]",1074,0.13177813621285187,0.09089530429460185,0.006765884931477599,0.8596499972789794
temporal_hour,afternoon(12-18),814,0.08317653353653752,0.06521854868668056,0.00504459242795555,0.8199401369982029
temporal_hour,evening(18-24),847,0.11643642282506639,0.08485080524181533,0.006287046861590288,0.7313522657543804
temporal_hour,night(0-6),792,0.12756417830971414,0.0899632591519949,0.006578722517859483,0.7106584075008635
temporal_hour,morning(6-12),792,0.15029326259410958,0.11074519899439295,0.008384852694332246,0.7747865486081449
