model,RMSE,MAE,MAPE,R2,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6
lstm,0.17513921940902602,0.12727333393280518,0.009541460667252965,0.8335031856330031,0.15204362598356994,0.16840928660333485,0.17452945366086636,0.18039730923995123,0.18595488110426164,0.18703098099530643
naive_moving_avg,0.2038881591578297,0.1515941859132048,0.011379386043230046,0.774356348812387,0.18278379435603487,0.19273195995993345,0.20062266127708644,0.2079583709421973,0.21498165452414894,0.22170592404049735
naive_persistence,0.21475805503466067,0.15277106665022722,0.011451186142107751,0.7496555123014172,0.1753331392127361,0.20210041285558572,0.21361332213230083,0.2240898351851637,0.2339881329183553,0.23354334642353078
